17,"(16.999, 23.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
18,"(16.999, 23.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
19,"(16.999, 23.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
20,"(16.999, 23.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
21,"(16.999, 23.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
22,"(16.999, 23.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
23,"(16.999, 23.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
24,"(23.0, 29.0]","(16.999, 24.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
25,"(23.0, 29.0]","(24.0, 31.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
26,"(23.0, 29.0]","(24.0, 31.0]","(16.999, 26.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
27,"(23.0, 29.0]","(24.0, 31.0]","(26.0, 33.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
28,"(23.0, 29.0]","(24.0, 31.0]","(26.0, 33.0]","(16.999, 28.0]","(16.999, 31.0]","(16.999, 37.0]",*
29,"(23.0, 29.0]","(24.0, 31.0]","(26.0, 33.0]","(28.0, 37.0]","(16.999, 31.0]","(16.999, 37.0]",*
30,"(29.0, 35.0]","(24.0, 31.0]","(26.0, 33.0]","(28.0, 37.0]","(16.999, 31.0]","(16.999, 37.0]",*
31,"(29.0, 35.0]","(24.0, 31.0]","(26.0, 33.0]","(28.0, 37.0]","(16.999, 31.0]","(16.999, 37.0]",*
32,"(29.0, 35.0]","(31.0, 37.0]","(26.0, 33.0]","(28.0, 37.0]","(31.0, 44.0]","(16.999, 37.0]",*
33,"(29.0, 35.0]","(31.0, 37.0]","(26.0, 33.0]","(28.0, 37.0]","(31.0, 44.0]","(16.999, 37.0]",*
34,"(29.0, 35.0]","(31.0, 37.0]","(33.0, 41.0]","(28.0, 37.0]","(31.0, 44.0]","(16.999, 37.0]",*
35,"(29.0, 35.0]","(31.0, 37.0]","(33.0, 41.0]","(28.0, 37.0]","(31.0, 44.0]","(16.999, 37.0]",*
36,"(35.0, 40.0]","(31.0, 37.0]","(33.0, 41.0]","(28.0, 37.0]","(31.0, 44.0]","(16.999, 37.0]",*
37,"(35.0, 40.0]","(31.0, 37.0]","(33.0, 41.0]","(28.0, 37.0]","(31.0, 44.0]","(16.999, 37.0]",*
38,"(35.0, 40.0]","(37.0, 44.0]","(33.0, 41.0]","(37.0, 48.0]","(31.0, 44.0]","(37.0, 90.0]",*
39,"(35.0, 40.0]","(37.0, 44.0]","(33.0, 41.0]","(37.0, 48.0]","(31.0, 44.0]","(37.0, 90.0]",*
40,"(35.0, 40.0]","(37.0, 44.0]","(33.0, 41.0]","(37.0, 48.0]","(31.0, 44.0]","(37.0, 90.0]",*
41,"(40.0, 46.0]","(37.0, 44.0]","(33.0, 41.0]","(37.0, 48.0]","(31.0, 44.0]","(37.0, 90.0]",*
42,"(40.0, 46.0]","(37.0, 44.0]","(41.0, 50.0]","(37.0, 48.0]","(31.0, 44.0]","(37.0, 90.0]",*
43,"(40.0, 46.0]","(37.0, 44.0]","(41.0, 50.0]","(37.0, 48.0]","(31.0, 44.0]","(37.0, 90.0]",*
44,"(40.0, 46.0]","(37.0, 44.0]","(41.0, 50.0]","(37.0, 48.0]","(31.0, 44.0]","(37.0, 90.0]",*
45,"(40.0, 46.0]","(44.0, 52.0]","(41.0, 50.0]","(37.0, 48.0]","(44.0, 90.0]","(37.0, 90.0]",*
46,"(40.0, 46.0]","(44.0, 52.0]","(41.0, 50.0]","(37.0, 48.0]","(44.0, 90.0]","(37.0, 90.0]",*
47,"(46.0, 54.0]","(44.0, 52.0]","(41.0, 50.0]","(37.0, 48.0]","(44.0, 90.0]","(37.0, 90.0]",*
48,"(46.0, 54.0]","(44.0, 52.0]","(41.0, 50.0]","(37.0, 48.0]","(44.0, 90.0]","(37.0, 90.0]",*
49,"(46.0, 54.0]","(44.0, 52.0]","(41.0, 50.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
50,"(46.0, 54.0]","(44.0, 52.0]","(41.0, 50.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
51,"(46.0, 54.0]","(44.0, 52.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
52,"(46.0, 54.0]","(44.0, 52.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
53,"(46.0, 54.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
54,"(46.0, 54.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
55,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
56,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
57,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
58,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
59,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
60,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
61,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
62,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
63,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
64,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
65,"(54.0, 90.0]","(52.0, 90.0]","(50.0, 90.0]","(48.0, 90.0]","(44.0, 90.0]","(37.0, 90.0]",*
