10,"1(9.999, 15.0]","2(9.999, 15.0]","3(9.999, 16.0]",*
11,"1(9.999, 15.0]","2(9.999, 15.0]","3(9.999, 16.0]",*
12,"1(9.999, 15.0]","2(9.999, 15.0]","3(9.999, 16.0]",*
13,"1(9.999, 15.0]","2(9.999, 15.0]","3(9.999, 16.0]",*
14,"1(9.999, 15.0]","2(9.999, 15.0]","3(9.999, 16.0]",*
15,"1(9.999, 15.0]","2(9.999, 15.0]","3(9.999, 16.0]",*
16,"1(15.0, 16.0]","2(15.0, 17.0]","3(9.999, 16.0]",*
17,"1(16.0, 17.0]","2(15.0, 17.0]","3(16.0, 29.0]",*
18,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
19,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
20,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
21,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
22,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
23,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
24,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
26,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
28,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
29,"1(17.0, 29.0]","2(17.0, 29.0]","3(16.0, 29.0]",*
