14,"(13.999, 20.0]","(13.999, 21.0]","(13.999, 25.0]",*
15,"(13.999, 20.0]","(13.999, 21.0]","(13.999, 25.0]",*
16,"(13.999, 20.0]","(13.999, 21.0]","(13.999, 25.0]",*
17,"(13.999, 20.0]","(13.999, 21.0]","(13.999, 25.0]",*
18,"(13.999, 20.0]","(13.999, 21.0]","(13.999, 25.0]",*
19,"(13.999, 20.0]","(13.999, 21.0]","(13.999, 25.0]",*
20,"(13.999, 20.0]","(13.999, 21.0]","(13.999, 25.0]",*
21,"(20.0, 25.0]","(13.999, 21.0]","(13.999, 25.0]",*
22,"(20.0, 25.0]","(21.0, 29.0]","(13.999, 25.0]",*
23,"(20.0, 25.0]","(21.0, 29.0]","(13.999, 25.0]",*
24,"(20.0, 25.0]","(21.0, 29.0]","(13.999, 25.0]",*
25,"(20.0, 25.0]","(21.0, 29.0]","(13.999, 25.0]",*
26,"(25.0, 31.25]","(21.0, 29.0]","(25.0, 84.0]",*
27,"(25.0, 31.25]","(21.0, 29.0]","(25.0, 84.0]",*
28,"(25.0, 31.25]","(21.0, 29.0]","(25.0, 84.0]",*
29,"(25.0, 31.25]","(21.0, 29.0]","(25.0, 84.0]",*
30,"(25.0, 31.25]","(29.0, 84.0]","(25.0, 84.0]",*
31,"(25.0, 31.25]","(29.0, 84.0]","(25.0, 84.0]",*
32,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
33,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
34,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
35,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
36,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
37,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
38,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
39,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
40,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
41,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
42,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
43,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
44,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
45,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
46,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
47,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
48,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
49,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
50,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
51,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
52,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
55,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
56,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
64,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
65,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
66,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
70,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
76,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
78,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
79,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
81,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
83,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
84,"(31.25, 84.0]","(29.0, 84.0]","(25.0, 84.0]",*
