0.0,"(-0.001, 1.0]","(-0.001, 1.073]","(-0.001, 1.165]","(-0.001, 1.233]","(-0.001, 1.267]","(-0.001, 2.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
0.16,"(-0.001, 1.0]","(-0.001, 1.073]","(-0.001, 1.165]","(-0.001, 1.233]","(-0.001, 1.267]","(-0.001, 2.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
0.5,"(-0.001, 1.0]","(-0.001, 1.073]","(-0.001, 1.165]","(-0.001, 1.233]","(-0.001, 1.267]","(-0.001, 2.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
1.0,"(-0.001, 1.0]","(-0.001, 1.073]","(-0.001, 1.165]","(-0.001, 1.233]","(-0.001, 1.267]","(-0.001, 2.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
1.219721412585799,"(1.0, 2.0]","(1.073, 2.667]","(1.165, 3.5]","(-0.001, 1.233]","(-0.001, 1.267]","(-0.001, 2.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
1.266972909,"(1.0, 2.0]","(1.073, 2.667]","(1.165, 3.5]","(1.233, 4.571]","(-0.001, 1.267]","(-0.001, 2.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
2.0,"(1.0, 2.0]","(1.073, 2.667]","(1.165, 3.5]","(1.233, 4.571]","(1.267, 6.0]","(-0.001, 2.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
3.0,"(2.0, 5.0]","(2.667, 6.0]","(1.165, 3.5]","(1.233, 4.571]","(1.267, 6.0]","(2.0, 8.0]","(-0.001, 3.5]","(-0.001, 6.0]","(-0.001, 11.0]",*
4.0,"(2.0, 5.0]","(2.667, 6.0]","(3.5, 7.25]","(1.233, 4.571]","(1.267, 6.0]","(2.0, 8.0]","(3.5, 11.0]","(-0.001, 6.0]","(-0.001, 11.0]",*
5.0,"(2.0, 5.0]","(2.667, 6.0]","(3.5, 7.25]","(4.571, 8.857]","(1.267, 6.0]","(2.0, 8.0]","(3.5, 11.0]","(-0.001, 6.0]","(-0.001, 11.0]",*
6.0,"(5.0, 8.0]","(6.0, 9.333]","(3.5, 7.25]","(4.571, 8.857]","(6.0, 11.0]","(2.0, 8.0]","(3.5, 11.0]","(6.0, 16.0]","(-0.001, 11.0]",*
7.0,"(5.0, 8.0]","(6.0, 9.333]","(3.5, 7.25]","(4.571, 8.857]","(6.0, 11.0]","(2.0, 8.0]","(3.5, 11.0]","(6.0, 16.0]","(-0.001, 11.0]",*
8.0,"(5.0, 8.0]","(6.0, 9.333]","(7.25, 11.0]","(4.571, 8.857]","(6.0, 11.0]","(2.0, 8.0]","(3.5, 11.0]","(6.0, 16.0]","(-0.001, 11.0]",*
9.0,"(8.0, 11.0]","(6.0, 9.333]","(7.25, 11.0]","(8.857, 13.143]","(6.0, 11.0]","(8.0, 14.0]","(3.5, 11.0]","(6.0, 16.0]","(-0.001, 11.0]",*
10.0,"(8.0, 11.0]","(9.333, 12.667]","(7.25, 11.0]","(8.857, 13.143]","(6.0, 11.0]","(8.0, 14.0]","(3.5, 11.0]","(6.0, 16.0]","(-0.001, 11.0]",*
11.0,"(8.0, 11.0]","(9.333, 12.667]","(7.25, 11.0]","(8.857, 13.143]","(6.0, 11.0]","(8.0, 14.0]","(3.5, 11.0]","(6.0, 16.0]","(-0.001, 11.0]",*
12.0,"(11.0, 14.0]","(9.333, 12.667]","(11.0, 14.75]","(8.857, 13.143]","(11.0, 16.0]","(8.0, 14.0]","(11.0, 19.5]","(6.0, 16.0]","(11.0, 37.0]",*
13.0,"(11.0, 14.0]","(12.667, 16.0]","(11.0, 14.75]","(8.857, 13.143]","(11.0, 16.0]","(8.0, 14.0]","(11.0, 19.5]","(6.0, 16.0]","(11.0, 37.0]",*
14.0,"(11.0, 14.0]","(12.667, 16.0]","(11.0, 14.75]","(13.143, 18.429]","(11.0, 16.0]","(8.0, 14.0]","(11.0, 19.5]","(6.0, 16.0]","(11.0, 37.0]",*
15.0,"(14.0, 18.0]","(12.667, 16.0]","(14.75, 19.5]","(13.143, 18.429]","(11.0, 16.0]","(14.0, 21.0]","(11.0, 19.5]","(6.0, 16.0]","(11.0, 37.0]",*
16.0,"(14.0, 18.0]","(16.0, 20.333]","(14.75, 19.5]","(13.143, 18.429]","(16.0, 22.0]","(14.0, 21.0]","(11.0, 19.5]","(16.0, 37.0]","(11.0, 37.0]",*
18.0,"(14.0, 18.0]","(16.0, 20.333]","(14.75, 19.5]","(13.143, 18.429]","(16.0, 22.0]","(14.0, 21.0]","(11.0, 19.5]","(16.0, 37.0]","(11.0, 37.0]",*
19.0,"(18.0, 21.0]","(16.0, 20.333]","(14.75, 19.5]","(18.429, 23.429]","(16.0, 22.0]","(14.0, 21.0]","(11.0, 19.5]","(16.0, 37.0]","(11.0, 37.0]",*
20.0,"(18.0, 21.0]","(16.0, 20.333]","(19.5, 25.0]","(18.429, 23.429]","(16.0, 22.0]","(14.0, 21.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
21.0,"(18.0, 21.0]","(20.333, 26.667]","(19.5, 25.0]","(18.429, 23.429]","(16.0, 22.0]","(14.0, 21.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
22.0,"(21.0, 28.0]","(20.333, 26.667]","(19.5, 25.0]","(18.429, 23.429]","(22.0, 37.0]","(21.0, 37.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
24.0,"(21.0, 28.0]","(20.333, 26.667]","(19.5, 25.0]","(23.429, 37.0]","(22.0, 37.0]","(21.0, 37.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
28.0,"(21.0, 28.0]","(26.667, 37.0]","(25.0, 37.0]","(23.429, 37.0]","(22.0, 37.0]","(21.0, 37.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
32.0,"(28.0, 37.0]","(26.667, 37.0]","(25.0, 37.0]","(23.429, 37.0]","(22.0, 37.0]","(21.0, 37.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
34.0,"(28.0, 37.0]","(26.667, 37.0]","(25.0, 37.0]","(23.429, 37.0]","(22.0, 37.0]","(21.0, 37.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
37.0,"(28.0, 37.0]","(26.667, 37.0]","(25.0, 37.0]","(23.429, 37.0]","(22.0, 37.0]","(21.0, 37.0]","(19.5, 37.0]","(16.0, 37.0]","(11.0, 37.0]",*
