0.0,"(-0.001, 2.25]","(-0.001, 3.0]","(-0.001, 4.5]",*
1.0,"(-0.001, 2.25]","(-0.001, 3.0]","(-0.001, 4.5]",*
2.0,"(-0.001, 2.25]","(-0.001, 3.0]","(-0.001, 4.5]",*
3.0,"(2.25, 4.5]","(3.0, 6.0]","(-0.001, 4.5]",*
4.0,"(2.25, 4.5]","(3.0, 6.0]","(-0.001, 4.5]",*
5.0,"(4.5, 6.75]","(3.0, 6.0]","(4.5, 11.0]",*
6.0,"(4.5, 6.75]","(6.0, 11.0]","(4.5, 11.0]",*
7.0,"(6.75, 11.0]","(6.0, 11.0]","(4.5, 11.0]",*
10.0,"(6.75, 11.0]","(6.0, 11.0]","(4.5, 11.0]",*
11.0,"(6.75, 11.0]","(6.0, 11.0]","(4.5, 11.0]",*
