,index,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,1,"[40, 60[",Non-Government,83311,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,13,North America,<=50K
1,2,"[20, 40[",Non-Government,215646,High School,Divorced,Nontechnical,Not-in-family,*,Male,0,0,40,North America,<=50K
2,4,"[20, 40[",Non-Government,338409,Undergraduate,Married-civ-spouse,Technical,Wife,*,Female,0,0,40,North America,<=50K
3,7,"[40, 60[",Non-Government,209642,High School,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,45,North America,>50K
4,8,"[20, 40[",Non-Government,45781,Graduate,Never-married,Technical,Not-in-family,*,Female,14084,0,50,North America,>50K
5,9,"[40, 60[",Non-Government,159449,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,5178,0,40,North America,>50K
6,10,"[20, 40[",Non-Government,280464,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,80,North America,>50K
7,12,"[20, 40[",Non-Government,122272,Undergraduate,Never-married,Other,Own-child,*,Female,0,0,30,North America,<=50K
8,16,"[20, 40[",Non-Government,176756,High School,Never-married,Other,Own-child,*,Male,0,0,35,North America,<=50K
9,17,"[20, 40[",Non-Government,186824,High School,Never-married,Technical,Unmarried,*,Male,0,0,40,North America,<=50K
10,20,"[40, 60[",Non-Government,193524,Graduate,Married-civ-spouse,Technical,Husband,*,Male,0,0,60,North America,>50K
11,26,"[0, 20[",Non-Government,168294,High School,Never-married,Technical,Own-child,*,Male,0,0,40,North America,<=50K
12,28,"[20, 40[",Non-Government,367260,High School,Divorced,Nontechnical,Not-in-family,*,Male,0,0,80,North America,<=50K
13,29,"[40, 60[",Non-Government,193366,High School,Married-civ-spouse,Technical,Husband,*,Male,0,0,40,North America,<=50K
14,31,"[20, 40[",Non-Government,266015,Undergraduate,Never-married,Nontechnical,Own-child,*,Male,0,0,44,North America,<=50K
15,32,"[40, 60[",Non-Government,386940,Undergraduate,Divorced,Nontechnical,Own-child,*,Male,0,1408,40,North America,<=50K
16,36,"[20, 40[",Non-Government,197200,Undergraduate,Never-married,Technical,Own-child,*,Male,0,0,40,North America,<=50K
17,44,"[20, 40[",Non-Government,289980,High School,Never-married,Nontechnical,Not-in-family,*,Male,0,0,35,North America,<=50K
18,46,"[40, 60[",Non-Government,144361,High School,Married-civ-spouse,Technical,Husband,*,Male,0,0,38,North America,<=50K
19,47,"[40, 60[",Non-Government,128354,Graduate,Divorced,Nontechnical,Unmarried,*,Female,0,0,40,North America,<=50K
20,55,"[40, 60[",Non-Government,237993,Undergraduate,Married-civ-spouse,Technical,Husband,*,Male,0,0,40,North America,>50K
21,58,"[40, 60[",Non-Government,147372,High School,Married-civ-spouse,Other,Husband,*,Male,0,0,48,North America,<=50K
22,59,"[20, 40[",Non-Government,188146,High School,Married-civ-spouse,Technical,Husband,*,Male,5013,0,40,North America,<=50K
23,60,"[20, 40[",Non-Government,59496,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,2407,0,40,North America,<=50K
24,62,"[40, 60[",Non-Government,149640,High School,Married-civ-spouse,Other,Husband,*,Male,0,0,40,North America,<=50K
25,63,"[40, 60[",Non-Government,116632,Graduate,Married-civ-spouse,Technical,Husband,*,Male,0,0,45,North America,>50K
26,65,"[20, 40[",Non-Government,155537,High School,Married-civ-spouse,Technical,Husband,*,Male,0,0,40,North America,<=50K
27,66,"[20, 40[",Non-Government,183175,Undergraduate,Divorced,Other,Not-in-family,*,Female,0,0,40,North America,<=50K
28,67,"[40, 60[",Non-Government,169846,High School,Married-civ-spouse,Other,Wife,*,Female,0,0,40,North America,>50K
29,68,"[40, 60[",Non-Government,191681,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,50,North America,>50K
30,73,"[20, 40[",Non-Government,211678,Undergraduate,Never-married,Technical,Not-in-family,*,Male,0,0,40,North America,<=50K
31,75,"[20, 40[",Non-Government,213921,High School,Never-married,Other,Own-child,*,Male,0,0,40,North America,<=50K
32,78,"[0, 20[",Non-Government,309634,High School,Never-married,Other,Own-child,*,Female,0,0,22,North America,<=50K
33,80,"[0, 20[",Non-Government,446839,High School,Never-married,Nontechnical,Not-in-family,*,Male,0,0,30,North America,<=50K
34,82,"[40, 60[",Non-Government,51618,High School,Married-civ-spouse,Other,Wife,*,Female,0,0,40,North America,<=50K
35,83,"[40, 60[",Non-Government,159937,High School,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,48,North America,<=50K
36,85,"[40, 60[",Non-Government,346253,High School,Divorced,Nontechnical,Own-child,*,Female,0,0,35,North America,<=50K
37,86,"[40, 60[",Government,268234,High School,Married-civ-spouse,Other,Husband,*,Male,0,0,40,North America,>50K
38,87,"[20, 40[",Non-Government,202051,Graduate,Married-civ-spouse,Technical,Husband,*,Male,0,0,50,North America,<=50K
39,97,"[20, 40[",Non-Government,202683,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,48,North America,>50K
40,101,"[40, 60[",Non-Government,198282,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,15024,0,60,North America,>50K
41,103,"[20, 40[",Non-Government,188300,Undergraduate,Never-married,Technical,Own-child,*,Female,0,0,40,North America,<=50K
42,104,"[20, 40[",Non-Government,103432,High School,Never-married,Technical,Not-in-family,*,Male,0,0,40,North America,<=50K
43,105,"[20, 40[",Non-Government,317660,High School,Married-civ-spouse,Technical,Husband,*,Male,7688,0,40,North America,>50K
44,106,"[0, 20[",Unknown,304873,High School,Never-married,Other,Own-child,*,Female,34095,0,32,North America,<=50K
45,109,"[40, 60[",Non-Government,124692,High School,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,40,North America,<=50K
46,110,"[20, 40[",Non-Government,432376,Undergraduate,Never-married,Nontechnical,Other-relative,*,Male,0,0,40,North America,<=50K
47,111,"[20, 40[",Non-Government,65324,Professional Education,Married-civ-spouse,Technical,Husband,*,Male,0,0,40,North America,>50K
48,114,"[20, 40[",Non-Government,102864,High School,Never-married,Technical,Own-child,*,Female,0,0,40,North America,<=50K
49,118,"[40, 60[",Non-Government,247552,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,56,North America,<=50K
50,119,"[20, 40[",Non-Government,102632,High School,Never-married,Technical,Not-in-family,*,Male,0,0,41,North America,<=50K
51,120,"[20, 40[",Non-Government,199915,Undergraduate,Never-married,Other,Own-child,*,Female,0,0,40,North America,<=50K
52,121,"[40, 60[",Non-Government,118853,Undergraduate,Married-civ-spouse,Nontechnical,Husband,*,Male,0,0,60,North America,<=50K
53,124,"[0, 20[",Non-Government,301606,Undergraduate,Never-married,Other,Own-child,*,Male,0,0,35,North America,<=50K
54,126,"[20, 40[",Non-Government,111697,Undergraduate,Never-married,Other,Own-child,*,Female,0,1719,28,North America,<=50K
55,128,"[20, 40[",Unknown,129305,High School,Married-civ-spouse,Other,Husband,*,Male,0,0,40,North America,<=50K
