,index,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,1,"[40, 80[",Non-Government,83311,*,Spouse present,*,Husband,*,Male,0,0,13,North America,<=50K
1,2,"[0, 40[",Non-Government,215646,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,North America,<=50K
2,4,"[0, 40[",Non-Government,338409,*,Spouse present,*,Wife,*,Female,0,0,40,North America,<=50K
3,7,"[40, 80[",Non-Government,209642,*,Spouse present,*,Husband,*,Male,0,0,45,North America,>50K
4,8,"[0, 40[",Non-Government,45781,*,Spouse not present,*,Not-in-family,*,Female,14084,0,50,North America,>50K
5,9,"[40, 80[",Non-Government,159449,*,Spouse present,*,Husband,*,Male,5178,0,40,North America,>50K
6,10,"[0, 40[",Non-Government,280464,*,Spouse present,*,Husband,*,Male,0,0,80,North America,>50K
7,12,"[0, 40[",Non-Government,122272,*,Spouse not present,*,Own-child,*,Female,0,0,30,North America,<=50K
8,16,"[0, 40[",Non-Government,176756,*,Spouse not present,*,Own-child,*,Male,0,0,35,North America,<=50K
9,17,"[0, 40[",Non-Government,186824,*,Spouse not present,*,Unmarried,*,Male,0,0,40,North America,<=50K
10,20,"[40, 80[",Non-Government,193524,*,Spouse present,*,Husband,*,Male,0,0,60,North America,>50K
11,26,"[0, 40[",Non-Government,168294,*,Spouse not present,*,Own-child,*,Male,0,0,40,North America,<=50K
12,28,"[0, 40[",Non-Government,367260,*,Spouse not present,*,Not-in-family,*,Male,0,0,80,North America,<=50K
13,29,"[40, 80[",Non-Government,193366,*,Spouse present,*,Husband,*,Male,0,0,40,North America,<=50K
14,31,"[0, 40[",Non-Government,266015,*,Spouse not present,*,Own-child,*,Male,0,0,44,North America,<=50K
15,32,"[40, 80[",Non-Government,386940,*,Spouse not present,*,Own-child,*,Male,0,1408,40,North America,<=50K
16,36,"[0, 40[",Non-Government,197200,*,Spouse not present,*,Own-child,*,Male,0,0,40,North America,<=50K
17,44,"[0, 40[",Non-Government,289980,*,Spouse not present,*,Not-in-family,*,Male,0,0,35,North America,<=50K
18,46,"[40, 80[",Non-Government,144361,*,Spouse present,*,Husband,*,Male,0,0,38,North America,<=50K
19,47,"[40, 80[",Non-Government,128354,*,Spouse not present,*,Unmarried,*,Female,0,0,40,North America,<=50K
20,55,"[40, 80[",Non-Government,237993,*,Spouse present,*,Husband,*,Male,0,0,40,North America,>50K
21,58,"[40, 80[",Non-Government,147372,*,Spouse present,*,Husband,*,Male,0,0,48,North America,<=50K
22,59,"[0, 40[",Non-Government,188146,*,Spouse present,*,Husband,*,Male,5013,0,40,North America,<=50K
23,60,"[0, 40[",Non-Government,59496,*,Spouse present,*,Husband,*,Male,2407,0,40,North America,<=50K
24,62,"[40, 80[",Non-Government,149640,*,Spouse present,*,Husband,*,Male,0,0,40,North America,<=50K
25,63,"[40, 80[",Non-Government,116632,*,Spouse present,*,Husband,*,Male,0,0,45,North America,>50K
26,65,"[0, 40[",Non-Government,155537,*,Spouse present,*,Husband,*,Male,0,0,40,North America,<=50K
27,66,"[0, 40[",Non-Government,183175,*,Spouse not present,*,Not-in-family,*,Female,0,0,40,North America,<=50K
28,67,"[40, 80[",Non-Government,169846,*,Spouse present,*,Wife,*,Female,0,0,40,North America,>50K
29,68,"[40, 80[",Non-Government,191681,*,Spouse present,*,Husband,*,Male,0,0,50,North America,>50K
30,73,"[0, 40[",Non-Government,211678,*,Spouse not present,*,Not-in-family,*,Male,0,0,40,North America,<=50K
31,75,"[0, 40[",Non-Government,213921,*,Spouse not present,*,Own-child,*,Male,0,0,40,North America,<=50K
32,78,"[0, 40[",Non-Government,309634,*,Spouse not present,*,Own-child,*,Female,0,0,22,North America,<=50K
